City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,harrisburg,40.2737,-76.8844,15.29000000000002,82,20,2.06,US,1717126908
512,tura,25.5198,90.2201,28.77000000000004,85,85,2.88,IN,1717127039
513,belebey,54.1167,54.1167,15.680000000000007,78,99,0.98,RU,1717127039
514,serhiyivka,46.0272,30.3768,18.05000000000001,82,4,5.01,UA,1717127039
515,great falls,47.5002,-111.3008,14.25,33,20,4.63,US,1717127039
516,tepelene,40.2958,20.0192,15.110000000000014,84,99,3.21,AL,1717127039
517,barra do garcas,-15.89,-52.2567,17.910000000000025,58,0,1.49,BR,1717127039
518,mount isa,-20.7333,139.5,17.870000000000005,94,75,5.14,AU,1717127039
519,adam,22.3756,57.5233,35.5,29,1,0.47,OM,1717127040
520,greenville,35.6127,-77.3663,17.010000000000048,90,0,0.0,US,1717126832
521,antofagasta,-23.65,-70.4,15.600000000000023,84,52,0.73,CL,1717126779
522,sabratah,32.7933,12.4885,21.410000000000025,49,1,2.59,LY,1717127040
523,bangassou,4.7413,22.8184,20.110000000000014,85,66,0.57,CF,1717127040
524,adrar,20.5022,-10.0711,25.920000000000016,23,1,3.76,MR,1717127040
525,moramanga,-18.9333,48.2,14.390000000000043,92,78,1.93,MG,1717127040
526,leitchfield,37.48,-86.2939,16.760000000000048,89,9,3.1,US,1717127040
527,ciudad bolivar,8.1222,-63.5497,26.410000000000025,85,90,0.92,VE,1717127041
528,sabzevar,36.2126,57.6819,22.600000000000023,28,0,5.14,IR,1717127041
529,labuan,5.2767,115.2417,31.200000000000045,74,20,1.54,MY,1717127041
530,san juan de miraflores,-12.1629,-76.9635,17.32000000000005,87,66,3.59,PE,1717127041
531,piti village,13.4626,144.6933,31.03000000000003,74,100,6.17,GU,1717127041
532,undurkhaan,47.3194,110.6556,18.480000000000018,33,85,2.08,MN,1717127041
533,san felipe,10.3399,-68.7425,22.860000000000014,98,100,1.43,VE,1717127041
534,dengzhou,37.8086,120.7508,17.160000000000025,75,36,9.49,CN,1717127041
535,luza,60.6308,47.2512,15.350000000000023,69,41,1.79,RU,1717127042
536,alenquer,-1.9417,-54.7383,24.170000000000016,96,100,1.17,BR,1717127042
537,kalispell,48.1958,-114.3129,12.020000000000039,65,75,4.12,US,1717127042
538,ayr,55.4627,-4.6339,9.170000000000016,93,20,1.54,GB,1717127042
539,petrovsk-zabaykal'skiy,51.273,108.843,19.730000000000018,42,51,3.26,RU,1717127042
540,belmonte,-15.8631,-38.8828,22.0,93,19,3.86,BR,1717127042
541,akureyri,65.6835,-18.0878,6.960000000000036,65,0,4.12,IS,1717127043
542,serenje,-13.2325,30.2352,9.890000000000043,69,5,1.93,ZM,1717127043
543,nueva esperanza,15.2667,-87.6,24.79000000000002,93,71,1.2,HN,1717127043
544,canutama,-6.5339,-64.3831,24.110000000000014,74,99,1.11,BR,1717127043
545,mokhsogollokh,61.4681,128.9203,24.57000000000005,31,9,3.39,RU,1717127043
546,al kharijah,25.4514,30.5464,25.5,26,0,4.56,EG,1717127043
547,alappuzha,9.49,76.3264,28.890000000000043,85,100,5.47,IN,1717126925
548,gustavia,17.8962,-62.8498,28.77000000000004,82,91,4.47,BL,1717127043
549,lazaro cardenas,17.9583,-102.2,26.890000000000043,81,3,2.37,MX,1717127044
550,vondrozo,-22.8167,47.2833,13.650000000000034,90,1,1.6,MG,1717127044
551,nchelenge,-9.3451,28.734,16.850000000000023,73,94,1.89,ZM,1717127044
552,kirakira,-10.4544,161.9205,27.460000000000036,87,99,5.52,SB,1717127044
553,zhezqazghan,47.7833,67.7667,19.32000000000005,55,40,3.0,KZ,1717127044
554,minas de marcona,-15.2119,-75.1103,12.32000000000005,82,16,1.98,PE,1717127044
555,betio village,1.358,172.9211,31.02000000000004,71,10,5.52,KI,1717127044
556,sarandi del yi,-33.35,-55.6333,9.020000000000039,87,29,2.38,UY,1717127045
557,paragominas,-2.9667,-47.4833,22.710000000000036,97,75,1.49,BR,1717127045
558,sidney,-33.8679,151.2073,21.860000000000014,65,0,7.2,AU,1717126806
559,thurles,52.6819,-7.8022,4.260000000000048,96,10,2.29,IE,1717126765
560,birzebbuga,35.8258,14.5269,20.08000000000004,88,0,2.06,MT,1717127045
